iter	BalancedAccuracy	Logloss
0	0.9822826087	0.6766480691	1	0.6606692282
2	1	0.6429946337
3	1	0.6203815807
4	1	0.6057473222
5	1	0.5908422104
6	1	0.574328711
7	1	0.5607850898
8	1	0.5480944914
9	1	0.5352622077
10	1	0.521472405
11	1	0.50793365
12	1	0.4955522662
13	1	0.4841294984
14	1	0.472039285
15	1	0.4584334602
16	1	0.4483311832
17	1	0.436429554
18	1	0.42643365
19	1	0.415355162
20	1	0.4056563188
21	1	0.3950491457
22	1	0.386377871
23	1	0.3748269186
24	1	0.3659636155
25	1	0.3571865476
26	1	0.3473929863
27	1	0.3375103752
28	1	0.3291198591
29	1	0.3203282835
30	1	0.3123142497
31	1	0.3054093061
32	1	0.2945177189
33	1	0.2863116268
34	1	0.2781265063
35	1	0.2706033816
36	1	0.2642730691
37	1	0.2585473774
38	1	0.2515494045
39	1	0.24668838	140	1	0.2409607888
41	1	0.2349650458
42	1	0.2301553347
43	1	0.2242995655
44	1	0.2177728231
45	1	0.2120286486
46	1	0.2075157723
47	1	0.2025181577
48	1	0.1978383972
49	1	0.193046948	150	1	0.188595549	1	0.1907406217
50	1	0.1864037233
51	1	0.1819826253
52	1	0.17788295
53	1	0.1738652783
54	1	0.1703129524
55	1	0.1663581446
56	1	0.1631048467
57	1	0.1596674658
58	1	0.1560366438
59	1	0.1523739035
60	1	0.1486949816
61	1	0.1452699674
62	1	0.1422443306
63	1	0.139347525
64	1	0.1365389131
65	1	0.1331886888
66	1	068	1	0.1268267	1	0.1272977379
68	1	070	1	0.1207869	1	0.1213134578
70	1	072	1	0.11671	1	0.173	1	0.11372	1	0.174	1	0.11173	1	0.175	1	0.1074	1	0.1093751955
75	1	0.1071059815
76	1	0.1050511744
77	1	0.102814808
78	1	0.1005484834
79	1	0.09833392132
80	1	0.09642786061
81	1	0.094283	1	0.082	1	0.092484	1	0.083	1	0.090285	1	0.08949889341
86	1	0.085	1	0.086387	1	0.086	1	0.084688	1	0.087	1	0.083289	1	0.088	1	0.08136310585
89	1	0.08000538396
90	1	0.0780719651
91	1	0.07643982092
92	1	0.07479024701
93	1	0.07333727285
94	1	0.07215508194
95	1	0.07071473971
96	1	0.06960266507
97	1	0.06832743074
98	1	0.067100	1	0.099	1	0.06600731413
100	1	0.0648102	1	0.101	1	0.0636103	1	0.102	1	0.0625219694
103	1	0.06098656492
104	1	0.06004439506
105	1	0.0584107	1	0.05817784319
108	1	0.05708472479
109	1	0.05628842285
110	1	0.109	1	0.0541111	1	0.05437562839
112	1	0.0534193989
113	1	0.05242475302
114	1	0.05165142638
115	1	0.05082548308
116	1	0.04986359869
117	1	0.04910015169
118	1	0.0483385638
119	1	0.04746728301
120	1	0.04670910146
121	1	0.04594855335
122	1	0.04521017476
123	1	0.04455986433
124	1	0.04376573934
125	1	0.04317629279
126	1	0.04242347471
127	1	0.04179411551
128	1	0.04090651466
129	1	0.04030249277
130	1	0.03971358743
131	1	0.03903771561
132	1	0.03854212669
133	1	0.03792164671
134	1	0.03738663776
135	1	0.03682164447
136	1	0.03618382794
137	1	0.03563190533
138	1	0.03511492278
139	1	0.03467699713
140	1	0.03404549461
141	1	0.03346095299
142	1	0.03292512792
143	1	0.03252140044
144	1	0.03203617579
145	1	0.03150807883
146	1	0.03099508572
147	1	0.03062912574
148	1	0.03029023534
149	1	0.02990300052
150	1	0.02942560113
151	1	0.02903250764
152	1	0151	1	0.02686153	1	0152	1	0.02651154	1	0153	1	0.02608155	1	0154	1	0.02567156	1	0155	1	0.0252157	1	0.156	1	0.0248158	1	0.157	1	0.0245159	1	0.158	1	0.0241160	1	0.159	1	0.0237161	1	0.160	1	0.02341071341
161	1	0.0230163	1	0.162	1	0.0226164	1	0.163	1160	1	0.0241153164	1161	1	0.0237666165	1162	1	0.0233832166	1163	1	0.0230604167	1164	1	0.0227540168	1165	1	0.0223536169	1166	1	0.0221030170	1167	1	0.0218228171	1168	1	0.0215319172	1169	1	0.0211595173	1170	1	0.0208308174	1171	1	0.0205745175	1172	1	0.0202900176	1173	1	0.01998519466
174	1	0.01969835275
175	1	0.01942869675
176	1	0.0191845180	1177	1	0.0190058181	1178	1	0.0187895182	1179	1	0.0185539183	1180	1	0.0182711184	1181	1	0.01802905173
182	1	0.01783002374
183	1	0.01760187	1	0184	1	0.0173188	1	0.185	1	0.0170189	1	0.186	1	0.01687265656
187	1	0.01666749177
188	1	0.01638735335
189	1	0.01617744992
190	1	0.01597133707
191	1	0.01580701296
192	1	0.01557498089
193	1	0.01539425006
194	1	0.01524311352
195	1	0.01497287405
196	1	0.01480049536
197	1	0.01465660832
198	1	0.0145025091
199	1	0.01434643531
200	1	0.01417170731
201	1	0.01398357682
202	1	0.01383932776
203	1	0.01369965165
204	1	0.01353502936
205	1	0.01338181056
206	1	0.01321798205
207	1	0.01305153656
208	1	0.01290570758
209	1	0.01274267634
210	1	0.01260732647
211	1	0.01247220555
212	1	0.01234127955
213	1	0.01221959905
214	1	0.01207575465
215	1	0.01194303689
216	1	0.01182435531
217	1	0.01169432831
218	1	0.01156333301
219	1	0.01147329345
220	1	0.01131678032
221	1	0.01121513945
222	1	0.01105971658
223	1	0.01094181325
224	1	0.01084060228
225	1	0.01073061722
226	1	0.01062667163
227	1	0.01054608156
228	1	0.01044182812
229	1	0.01035260661
230	1	0.01020687629
231	1	0.01005898676
232	1	0.009966557526
233	1	0.009877299304
234	1	0.009795806784
235	1	0.009714204201
236	1	0.009632058346
237	1	0.009546853722
238	1	0.009468499852
239	1	0.009388159095
240	1	0.009302568142
241	1	0.009222103443
242	1	0.009099958503
243	1	0.008982451913
244	1	0.008908028422
245	1	0.00881402231
246	1	0.008725734769
247	1	0.008604536876
248	1	0.00849032687
249	1	0.008414877338
250	1	0.008354608507
251	1	0.008276842716
252	1	0.008215902169
253	1	0.008139391383
254	1	0.008054433974
255	1	0.007985036309
256	1	0.007929320386
257	1	0.007848054245
258	1	0.007774068602
259	1	0.007705753514
