iter	BalancedAccuracy	Logloss
260	1	0.007626804369
261	1	0.007549220403
262	1	0.00745695825
263	1	0.007364434494
264	1	0.007311142401
265	1	0.007234829063
266	1	0.007162511684
267	1	0.007085480194
268	1	0.00701698013
269	1	0.006958763155
270	1	0.006908334473
271	1	0.006842560364
272	1	0.006777747285
273	1	0.006711323078
274	1	0.00664679203
275	1	0.006595578961
276	1	0.006523299939
277	1	0.006460821631
278	1	0.006416642986
279	1	0.006356511884
280	1	0.006301456172
281	1	0.006246727773
282	1	0.006192581556
283	1	0.006146696789
284	1	0.006103979967
285	1	0.00606059696
286	1	0.00602011617
287	1	0.005969730951
288	1	0.005917798245
289	1	0.005868025332
290	1	0.005811032272
291	1	0.005766335476
292	1	0.005720337701
293	1	0.005665347438
294	1	0.005622314081
295	1	0.005587236674
296	1	0.005536207103
297	1	0.005499478435
298	1	0.005446544878
299	1	0.005400458573
300	1	0.005359878836
301	1	0.005326321973
302	1	0.005289170968
303	1	0.005256722821
304	1	0.005210013174
305	1	0.00517173439
306	1	0.005138240804
307	1	0.005093136826
308	1	0.005058852663
309	1	0.005025409665
310	1	0.00499072742
311	1	0.004951907993
312	1	0.004921329258
313	1	0.004886191997
314	1	0.004845486239
315	1	0.004811840194
316	1	0.004781740761
317	1	0.004750134789
318	1	0.004725017832
319	1	0.004683834646
320	1	0.004646222659
321	1	0.004616152396
322	1	0.004586428479
323	1	0.004556596387
324	1	0.004519381479
325	1	0.004478835417
326	1	0.004441065151
327	1	0.004405519927
328	1	0.004373064186
329	1	0.004330220158
330	1	0.00430425548
331	1	0.004277810699
332	1	0.004250373732
333	1	0.004224379111
334	1	0.004193558888
335	1	0.004159841258
336	1	0.004130806055
337	1	0.004099054119
338	1	0.004072580718
339	1	0.004051542805
340	1	0.004021442664
341	1	0.004002652725
342	1	0.003979781152
343	1	0.003941817112
344	1	0.00391309138
345	1	0.003890261262
346	1	0.003870262892
347	1	0.003851362245
348	1	0.003833249284
349	1	0.003810248265
350	1	0.003785590795
351	1	0.003755272587
352	1	0.003730030674
353	1	0.003709691844
354	1	0.0036873718
355	1	0.003662683708
356	1	0.003643473743
357	1	0.003624023988
358	1	0.003599573771
359	1	0.003570752952
360	1	0.003550158865
361	1	0.003523783235
362	1	0.003499604555
363	1	0.003484829477
364	1	0.003468329567
365	1	0.003445462107
366	1	0.003427516077
367	1	0.003398120554
368	1	0.003378951999
369	1	0.003352195143
370	1	0.003329458349
371	1	0.003302667103
372	1	0.003276972551
373	1	0.003265005606
374	1	0.003245870077
375	1	0.0032309738
376	1	0.003214326161
377	1	0.00318836684
378	1	0.003170057525
379	1	0.003154163966
380	1	0.003109497161
381	1	0.003095060996
382	1	0.003082426492
383	1	0.003065629923
384	1	0.003045536183
385	1	0.003031851028
386	1	0.003016014927
387	1	0.002998663505
388	1	0.002979134314
389	1	0.002962719673
390	1	0.002939992828
391	1	0.002916064599
392	1	0.002899320797
393	1	0.002884478724
394	1	0.002866321444
395	1	0.002851247187
396	1	0.002833765958
397	1	0.002819765141
398	1	0.002807409855
399	1	0.002790871775
400	1	0.002776503097
401	1	0.002758803716
402	1	0.002740114048
403	1	0.002726157753
404	1	0.002713384958
405	1	0.002700196383
406	1	0.002686048058
407	1	0.002674169312
408	1	0.002659544935
409	1	0.00264690586
410	1	0.00263679962
411	1	0.0026219536
412	1	0.002612185633
413	1	0.002597847679
414	1	0.002588234787
415	1	0.002576897708
416	1	0.002562455847
417	1	0.002545942962
418	1	0.002531993309
419	1	0.002515013454
420	1	0.002505236631
421	1	0.002497707389
422	1	0.002485477965
423	1	0.002471311509
424	1	0.002461293925
425	1	0.002447964388
426	1	0.0024381636
427	1	0.002426927881
428	1	0.002412994602
429	1	0.002402916982
430	1	0.002393557069
431	1	0.002384261292
432	1	0.002371053388
433	1	0.002355475634
434	1	0.002345337181
435	1	0.002327943966
436	1	0.002317997185
437	1	0.002306082523
438	1	0.002294686009
439	1	0.002282335619
440	1	0.002273498278
441	1	0.00226355899
442	1	0.002252744054
443	1	0.00224226937
444	1	0.002230317663
445	1	0.002220960456
446	1	0.002211568985
447	1	0.002194674934
448	1	0.002182154665
449	1	0.002168895062
450	1	0.002157417801
451	1	0.00214803462
452	1	0.002140543921
453	1	0.002131698252
454	1	0.002122222523
455	1	0.002109997011
456	1	0.002102251107
457	1	0.002089889606
458	1	0.0020779431
459	1	0.002061107499
460	1	0.002053136295
461	1	0.00204556191
462	1	0.002038049191
463	1	0.002030437891
464	1	0.002018744332
207373851
469	1	0.002197874675
470	1	0.002191201823
471	1	0.002175216549
472	1	0.002167809608
473	1	0.002159671645
474	1	0.002151997278
475	1	0.002141283278
476	1	0.002134592039
477	1	0.002120377057
478	1	0.002108863815
479	1	0.002102132536
480	1	0.002092649616
481	1	0.002078018823
482	1	0.002070555511
483	1	0.002060842136
484	1	0.002053256546
485	1	0.002043151035
5
