mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_poly__degree,param_regressor_switcher__alpha,param_regressor_switcher__model,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.3976300239562988,0.027727022677034977,0.0023688316345214845,0.0005413976126270264,0.9104067125956165,4,0.001,ols,"OrderedDict({'pca__n_components': 0.9104067125956165, 'poly__degree': 4, 'regressor_switcher__alpha': 0.001, 'regressor_switcher__model': 'ols'})",0.5009994879422519,0.5173284213581413,0.6346783451425273,0.5596130527626897,0.5816309926231296,0.558850059965748,0.04762397933752641,1
0.37259364128112793,0.012878561862139138,0.002308082580566406,0.0001644384122918062,0.9120081271221413,4,0.001,ols,"OrderedDict({'pca__n_components': 0.9120081271221413, 'poly__degree': 4, 'regressor_switcher__alpha': 0.001, 'regressor_switcher__model': 'ols'})",0.5009994879422519,0.5173284213581413,0.6346783451425273,0.5596130527626897,0.5816309926231296,0.558850059965748,0.04762397933752641,1
0.3011757850646973,0.0041634409142898175,0.0023416996002197264,0.00023019648534197183,0.910481254057327,4,0.001,ols,"OrderedDict({'pca__n_components': 0.910481254057327, 'poly__degree': 4, 'regressor_switcher__alpha': 0.001, 'regressor_switcher__model': 'ols'})",0.5009994879422519,0.5173284213581413,0.6346783451425273,0.5596130527626897,0.5816309926231296,0.558850059965748,0.04762397933752641,1
0.31049308776855467,0.0028644270934488967,0.002507925033569336,0.00043020466694228396,0.9104078533867643,4,0.001,ols,"OrderedDict({'pca__n_components': 0.9104078533867643, 'poly__degree': 4, 'regressor_switcher__alpha': 0.001, 'regressor_switcher__model': 'ols'})",0.5009994879422519,0.5173284213581413,0.6346783451425273,0.5596130527626897,0.5816309926231296,0.558850059965748,0.04762397933752641,1
0.31514511108398435,0.008686457218830483,0.0017472267150878905,9.995428162980929e-05,0.9118990378079554,4,0.001,ols,"OrderedDict({'pca__n_components': 0.9118990378079554, 'poly__degree': 4, 'regressor_switcher__alpha': 0.001, 'regressor_switcher__model': 'ols'})",0.5009994879422519,0.5173284213581413,0.6346783451425273,0.5596130527626897,0.5816309926231296,0.558850059965748,0.04762397933752641,1
0.3663938999176025,0.01054326971917366,0.0027166366577148437,0.0005328346111197589,0.9112525661232284,4,0.001,ridge,"OrderedDict({'pca__n_components': 0.9112525661232284, 'poly__degree': 4, 'regressor_switcher__alpha': 0.001, 'regressor_switcher__model': 'ridge'})",0.5009994840218458,0.51732843076934,0.6346783306662354,0.5596130443221221,0.5816310059459979,0.5588500591451082,0.0476239752865607,6
0.31102714538574217,0.010069324804061489,0.0019392967224121094,0.0002720728530248716,0.9128267567280489,4,0.001,ols,"OrderedDict({'pca__n_components': 0.9128267567280489, 'poly__degree': 4, 'regressor_switcher__alpha': 0.001, 'regressor_switcher__model': 'ols'})",0.5009994879422519,0.5173284213581413,0.6346783451425273,0.5596130527626897,0.580448081365925,0.5586134777143071,0.047513031516752485,7
0.3756599426269531,0.016126116584198293,0.003385782241821289,0.0011038661980871207,0.9097715408828944,4,0.001,ols,"OrderedDict({'pca__n_components': 0.9097715408828944, 'poly__degree': 4, 'regressor_switcher__alpha': 0.001, 'regressor_switcher__model': 'ols'})",0.5009994879422519,0.5173284213581413,0.6346783451425273,0.5596130527626897,0.580448081365925,0.5586134777143071,0.047513031516752485,7
0.34206247329711914,0.0058190687024831525,0.0024739742279052735,0.0004156449113054374,0.9109443337668504,4,0.001,ols,"OrderedDict({'pca__n_components': 0.9109443337668504, 'poly__degree': 4, 'regressor_switcher__alpha': 0.001, 'regressor_switcher__model': 'ols'})",0.5009994879422519,0.5173284213581413,0.6346783451425273,0.5596130527626897,0.580448081365925,0.5586134777143071,0.047513031516752485,7
0.35723533630371096,0.012049550806265342,0.002334880828857422,0.0003076823826326825,0.9111963622167124,4,0.001,ols,"OrderedDict({'pca__n_components': 0.9111963622167124, 'poly__degree': 4, 'regressor_switcher__alpha': 0.001, 'regressor_switcher__model': 'ols'})",0.5009994879422519,0.5173284213581413,0.6346783451425273,0.5596130527626897,0.580448081365925,0.5586134777143071,0.047513031516752485,7
0.35851259231567384,0.00960830131695622,0.0026972293853759766,0.00013256656167355237,0.9119155433053973,4,0.001,ols,"OrderedDict({'pca__n_components': 0.9119155433053973, 'poly__degree': 4, 'regressor_switcher__alpha': 0.001, 'regressor_switcher__model': 'ols'})",0.5009994879422519,0.5173284213581413,0.6346783451425273,0.5596130527626897,0.580448081365925,0.5586134777143071,0.047513031516752485,7
0.32094388008117675,0.007332380351586691,0.0029815673828125,0.0013014151779659026,0.9104244281148305,4,0.001,ols,"OrderedDict({'pca__n_components': 0.9104244281148305, 'poly__degree': 4, 'regressor_switcher__alpha': 0.001, 'regressor_switcher__model': 'ols'})",0.5009994879422519,0.5173284213581413,0.6346783451425273,0.5576807309111718,0.5816309926231296,0.5584635955954445,0.04762405996676015,12
0.3816958427429199,0.01255496540090975,0.0021636486053466797,0.00011411690540598402,0.911160087649103,4,0.001,ols,"OrderedDict({'pca__n_components': 0.911160087649103, 'poly__degree': 4, 'regressor_switcher__alpha': 0.001, 'regressor_switcher__model': 'ols'})",0.5009994879422519,0.5159179317348945,0.6346783451425273,0.5596130527626897,0.580448081365925,0.5583313797896577,0.04776085571158135,13
